model,video_path,second,score_raw,score_smoothed,face_detected,num_faces,bbox_area,face_crop_size
videomae,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,0,,,1,1,50000,503x503
videomae,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,1,,,1,1,49590,503x503
videomae,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,2,,,1,1,49210,503x503
videomae,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,3,,,1,1,48994,503x503
videomae,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,4,,,1,1,48636,503x503
videomae,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,5,,,1,1,53116,503x503
videomae,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,6,,,1,1,51917,503x503
videomae,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,7,,,1,1,50424,503x503
videomae,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,8,,,1,1,49140,503x503
videomae,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,9,,,1,1,51548,503x503
videomae,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,10,,,1,1,48960,503x503
videomae,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,11,,,1,1,52828,503x503
videomae,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,12,,,1,1,52650,503x503
videomae,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,13,,,1,1,52440,503x503
videomae,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,14,,,1,1,54450,503x503
videomae,C:\deepfake_eval\f3net_clean_experiment_2026-04-15_v4\sessions\calibration\calibration_fake_only_01.mp4,15,0.4837695360183716,0.4837695360183716,1,1,49728,503x503
